ID	rev_name	Day	Crop	Treatment	Addition	Sample_Location	16S	F1R2_Ave/g	CS001_Ave/g	F1R2/16S(%)	CS001/16S(%)	qnorB_Ave/g	qnorB/16S	cnorB_Ave/g	qnorB+cnorB	cnorB/16S	tot_nor/16S
6f	6f	86	Corn	112N	Nitrogen	D87-A6	2552829038	8728568.63	16749497.38	0.003419175	0.006561151	85251364.33	0.033394858	294315099.2	379566463.6	0.11528978	0.148684639
70a	70a	0	Miscanthus	112N	Control	D0-F10	1813194098	23294301.6	25252999.85	0.012847109	0.013927356	123761192	0.068255898	632170546.9	755931738.9	0.348650234	0.416906133
70b	70b	4	Miscanthus	112N	Control	D5-F10	2473184277	36451905.55	33604291.16	0.014738855	0.013587459	126034843.3	0.050960555	888606851.7	1014641695	0.359296661	0.410257216
70c	70c	15	Miscanthus	112N	Control	D11-F10	186303734.7	1576991.33	1919618.84	0.008464625	0.010303706	8003855.568	0.042961326	29473469.82	37477325.39	0.158201175	0.201162502
70d	70d	30	Miscanthus	112N	Control	D32-F10	12312750458	46848101.49	41143593.84	0.003804845	0.003341544	396832867.1	0.032229425	939194784.3	1336027651	0.076278228	0.108507653
70e	70e	59	Miscanthus	112N	Control	D60-F10	6035764831	19078286.93	64643238.94	0.003160873	0.010710033	270442849.2	0.044806724	808667234.9	1079110084	0.133979248	0.178785972
70f	70f	86	Miscanthus	112N	Control	D87-F10	6374247186	36730164.28	71386250.39	0.005762275	0.011199166	195534192.2	0.030675653	504174951.2	699709143.4	0.079095607	0.10977126
71a	71a	0	Miscanthus	112N	Carbon	D0-F11	2144906079	27148229.54	25542496.62	0.012657071	0.011908445	128709405.9	0.060007013	662380825.9	791090231.8	0.308815772	0.368822784
71b	71b	4	Miscanthus	112N	Carbon	D5-F11	2206310486	29578078.56	30680253.53	0.013406127	0.013905683	82952690.81	0.037597923	717348763.3	800301454.1	0.325135001	0.362732924
71c	71c	15	Miscanthus	112N	Carbon	D11-F11	11600848284	165417320.1	151377119	0.014259071	0.013048797	432367238.7	0.037270312	1747453926	2179821165	0.150631564	0.187901877
71d	71d	30	Miscanthus	112N	Carbon	D32-F11	8364490167	29350569.43	22593740.74	0.003508949	0.00270115	232460281.4	0.027791327	626035201.2	858495482.6	0.074844394	0.102635721
71e	71e	59	Miscanthus	112N	Carbon	D60-F11	6892810008	13045221.63	58485281.37	0.001892584	0.008484969	319416051.7	0.046340469	895411794.6	1214827846	0.12990519	0.17624566
71f	71f	86	Miscanthus	112N	Carbon	D87-F11	6527549659	46271225.1	51399486.16	0.007088606	0.007874239	212726626	0.032589048	562000655.2	774727281.2	0.086096726	0.118685774
